dealid,artistsid,pitched
5871,982,0
6414,982,0
3255,982,0
6438,982,0
6480,982,0
6479,982,0
6477,982,0
6474,982,0
6476,982,0
6467,982,0
6501,982,0
6495,982,0
6509,982,0
6490,982,0
6517,982,0
6497,982,0
6520,982,0
6496,982,0
6536,982,0
5814,982,0
6569,982,0
6552,982,0
6591,982,0
6586,982,0
6549,982,0
6594,982,0
6577,982,0
6471,982,1
6598,982,0
6566,982,0
6601,982,0
6603,982,0
6568,982,0
6556,982,0
6564,982,0
6395,982,0
6620,982,0
6608,982,0
6576,982,0
6587,982,0
6539,982,0
6622,982,0
6636,982,0
6670,982,0
6651,982,0
6665,982,0
6668,982,0
6676,982,0
6637,982,0
4995,982,0
6627,982,0
6685,982,0
6680,982,0
6737,982,0
6732,982,0
6742,982,0
6712,982,0
6744,982,0
6767,982,0
6764,982,0
6775,982,0
6713,982,0
6634,982,0
6778,982,0
6774,982,0
6796,982,0
6805,982,0
6804,982,0
6803,982,0
6802,982,0
6808,982,0
6814,982,0
6793,982,0
6819,982,0
6813,982,0
6807,982,0
5871,973,0
6414,973,0
3255,973,0
6438,973,0
6480,973,0
6479,973,0
6477,973,0
6474,973,0
6476,973,0
6467,973,0
6501,973,0
6495,973,0
6509,973,0
6490,973,0
6517,973,0
6497,973,0
6520,973,0
6496,973,0
6536,973,0
5814,973,0
6569,973,0
6552,973,0
6591,973,0
6586,973,0
6549,973,0
6594,973,0
6577,973,0
6471,973,0
6598,973,0
6566,973,0
6601,973,0
6603,973,0
6568,973,0
6556,973,0
6564,973,0
6395,973,0
6620,973,0
6608,973,0
6576,973,0
6587,973,0
6539,973,0
6622,973,0
6636,973,0
6670,973,0
6651,973,0
6665,973,0
6668,973,0
6676,973,0
6637,973,0
4995,973,0
6627,973,0
6685,973,0
6680,973,0
6737,973,0
6732,973,0
6742,973,1
6712,973,0
6744,973,0
6767,973,0
6764,973,0
6775,973,0
6713,973,0
6634,973,0
6778,973,0
6774,973,0
6796,973,0
6805,973,0
6804,973,0
6803,973,0
6802,973,0
6808,973,0
6814,973,0
6793,973,0
6819,973,0
6813,973,0
6807,973,0
5871,971,0
6414,971,0
3255,971,0
6438,971,0
6480,971,0
6479,971,0
6477,971,0
6474,971,0
6476,971,0
6467,971,0
6501,971,0
6495,971,0
6509,971,0
6490,971,0
6517,971,0
6497,971,0
6520,971,0
6496,971,0
6536,971,0
5814,971,0
6569,971,0
6552,971,0
6591,971,0
6586,971,0
6549,971,0
6594,971,0
6577,971,0
6471,971,0
6598,971,0
6566,971,0
6601,971,0
6603,971,0
6568,971,0
6556,971,0
6564,971,0
6395,971,0
6620,971,0
6608,971,0
6576,971,0
6587,971,0
6539,971,0
6622,971,0
6636,971,0
6670,971,0
6651,971,0
6665,971,0
6668,971,0
6676,971,0
6637,971,0
4995,971,0
6627,971,0
6685,971,0
6680,971,0
6737,971,0
6732,971,0
6742,971,0
6712,971,0
6744,971,1
6767,971,0
6764,971,0
6775,971,0
6713,971,0
6634,971,0
6778,971,0
6774,971,0
6796,971,0
6805,971,0
6804,971,0
6803,971,0
6802,971,0
6808,971,0
6814,971,0
6793,971,0
6819,971,0
6813,971,0
6807,971,0
5871,965,0
6414,965,0
3255,965,0
6438,965,0
6480,965,0
6479,965,0
6477,965,0
6474,965,0
6476,965,0
6467,965,0
6501,965,0
6495,965,0
6509,965,0
6490,965,0
6517,965,0
6497,965,0
6520,965,0
6496,965,0
6536,965,0
5814,965,0
6569,965,0
6552,965,0
6591,965,0
6586,965,0
6549,965,0
6594,965,0
6577,965,0
6471,965,0
6598,965,0
6566,965,0
6601,965,0
6603,965,0
6568,965,0
6556,965,0
6564,965,0
6395,965,0
6620,965,0
6608,965,0
6576,965,0
6587,965,0
6539,965,0
6622,965,0
6636,965,0
6670,965,0
6651,965,0
6665,965,0
6668,965,0
6676,965,0
6637,965,0
4995,965,0
6627,965,0
6685,965,0
6680,965,0
6737,965,0
6732,965,0
6742,965,0
6712,965,1
6744,965,0
6767,965,0
6764,965,0
6775,965,0
6713,965,0
6634,965,0
6778,965,0
6774,965,0
6796,965,0
6805,965,0
6804,965,0
6803,965,0
6802,965,0
6808,965,0
6814,965,0
6793,965,0
6819,965,0
6813,965,0
6807,965,0
5871,963,0
6414,963,0
3255,963,0
6438,963,0
6480,963,0
6479,963,0
6477,963,0
6474,963,0
6476,963,0
6467,963,1
6501,963,0
6495,963,0
6509,963,0
6490,963,0
6517,963,0
6497,963,0
6520,963,0
6496,963,0
6536,963,0
5814,963,0
6569,963,0
6552,963,0
6591,963,0
6586,963,0
6549,963,0
6594,963,0
6577,963,0
6471,963,0
6598,963,0
6566,963,0
6601,963,0
6603,963,0
6568,963,0
6556,963,0
6564,963,0
6395,963,0
6620,963,0
6608,963,0
6576,963,0
6587,963,0
6539,963,0
6622,963,0
6636,963,0
6670,963,0
6651,963,0
6665,963,0
6668,963,0
6676,963,0
6637,963,0
4995,963,0
6627,963,0
6685,963,0
6680,963,0
6737,963,0
6732,963,0
6742,963,0
6712,963,0
6744,963,0
6767,963,0
6764,963,0
6775,963,0
6713,963,0
6634,963,0
6778,963,0
6774,963,0
6796,963,0
6805,963,0
6804,963,0
6803,963,0
6802,963,0
6808,963,0
6814,963,0
6793,963,0
6819,963,0
6813,963,0
6807,963,0
5871,948,0
6414,948,0
3255,948,0
6438,948,0
6480,948,0
6479,948,0
6477,948,0
6474,948,0
6476,948,0
6467,948,0
6501,948,0
6495,948,0
6509,948,0
6490,948,0
6517,948,0
6497,948,1
6520,948,0
6496,948,0
6536,948,0
5814,948,0
6569,948,0
6552,948,0
6591,948,0
6586,948,0
6549,948,0
6594,948,0
6577,948,0
6471,948,0
6598,948,0
6566,948,0
6601,948,0
6603,948,0
6568,948,0
6556,948,0
6564,948,0
6395,948,0
6620,948,0
6608,948,0
6576,948,0
6587,948,0
6539,948,0
6622,948,0
6636,948,0
6670,948,0
6651,948,0
6665,948,0
6668,948,0
6676,948,0
6637,948,0
4995,948,0
6627,948,0
6685,948,0
6680,948,0
6737,948,0
6732,948,0
6742,948,0
6712,948,0
6744,948,0
6767,948,0
6764,948,0
6775,948,0
6713,948,0
6634,948,0
6778,948,0
6774,948,0
6796,948,0
6805,948,0
6804,948,0
6803,948,0
6802,948,0
6808,948,0
6814,948,0
6793,948,0
6819,948,0
6813,948,0
6807,948,0
5871,94,1
6414,94,0
3255,94,0
6438,94,0
6480,94,0
6479,94,0
6477,94,0
6474,94,0
6476,94,0
6467,94,0
6501,94,0
6495,94,0
6509,94,0
6490,94,0
6517,94,0
6497,94,0
6520,94,0
6496,94,0
6536,94,0
5814,94,0
6569,94,0
6552,94,0
6591,94,0
6586,94,0
6549,94,0
6594,94,0
6577,94,0
6471,94,0
6598,94,0
6566,94,0
6601,94,0
6603,94,0
6568,94,0
6556,94,0
6564,94,0
6395,94,0
6620,94,0
6608,94,0
6576,94,0
6587,94,0
6539,94,0
6622,94,0
6636,94,0
6670,94,0
6651,94,0
6665,94,0
6668,94,0
6676,94,0
6637,94,0
4995,94,0
6627,94,0
6685,94,0
6680,94,0
6737,94,0
6732,94,0
6742,94,0
6712,94,0
6744,94,0
6767,94,0
6764,94,0
6775,94,0
6713,94,0
6634,94,0
6778,94,0
6774,94,0
6796,94,0
6805,94,0
6804,94,0
6803,94,0
6802,94,0
6808,94,0
6814,94,0
6793,94,0
6819,94,0
6813,94,0
6807,94,0
5871,938,0
6414,938,0
3255,938,0
6438,938,0
6480,938,0
6479,938,0
6477,938,0
6474,938,0
6476,938,0
6467,938,0
6501,938,0
6495,938,0
6509,938,0
6490,938,0
6517,938,0
6497,938,0
6520,938,0
6496,938,0
6536,938,0
5814,938,0
6569,938,0
6552,938,0
6591,938,0
6586,938,0
6549,938,0
6594,938,0
6577,938,0
6471,938,0
6598,938,0
6566,938,0
6601,938,0
6603,938,0
6568,938,0
6556,938,0
6564,938,0
6395,938,0
6620,938,0
6608,938,0
6576,938,0
6587,938,0
6539,938,0
6622,938,0
6636,938,0
6670,938,1
6651,938,0
6665,938,0
6668,938,0
6676,938,0
6637,938,0
4995,938,0
6627,938,0
6685,938,0
6680,938,0
6737,938,0
6732,938,0
6742,938,0
6712,938,0
6744,938,0
6767,938,0
6764,938,0
6775,938,0
6713,938,0
6634,938,0
6778,938,0
6774,938,0
6796,938,0
6805,938,0
6804,938,0
6803,938,0
6802,938,0
6808,938,0
6814,938,0
6793,938,0
6819,938,0
6813,938,0
6807,938,0
5871,934,0
6414,934,0
3255,934,0
6438,934,0
6480,934,0
6479,934,0
6477,934,0
6474,934,0
6476,934,0
6467,934,0
6501,934,0
6495,934,0
6509,934,0
6490,934,0
6517,934,0
6497,934,0
6520,934,0
6496,934,0
6536,934,0
5814,934,0
6569,934,0
6552,934,0
6591,934,0
6586,934,0
6549,934,0
6594,934,0
6577,934,0
6471,934,0
6598,934,0
6566,934,0
6601,934,0
6603,934,0
6568,934,0
6556,934,0
6564,934,0
6395,934,1
6620,934,0
6608,934,0
6576,934,0
6587,934,0
6539,934,0
6622,934,0
6636,934,0
6670,934,0
6651,934,0
6665,934,0
6668,934,0
6676,934,0
6637,934,0
4995,934,0
6627,934,0
6685,934,0
6680,934,0
6737,934,0
6732,934,0
6742,934,0
6712,934,0
6744,934,0
6767,934,0
6764,934,0
6775,934,0
6713,934,0
6634,934,0
6778,934,0
6774,934,0
6796,934,0
6805,934,0
6804,934,0
6803,934,0
6802,934,0
6808,934,0
6814,934,0
6793,934,0
6819,934,0
6813,934,0
6807,934,0
5871,90,0
6414,90,0
3255,90,0
6438,90,0
6480,90,0
6479,90,0
6477,90,0
6474,90,0
6476,90,0
6467,90,0
6501,90,0
6495,90,0
6509,90,0
6490,90,0
6517,90,0
6497,90,0
6520,90,0
6496,90,0
6536,90,0
5814,90,0
6569,90,0
6552,90,0
6591,90,0
6586,90,0
6549,90,0
6594,90,0
6577,90,0
6471,90,0
6598,90,0
6566,90,0
6601,90,0
6603,90,0
6568,90,0
6556,90,0
6564,90,0
6395,90,0
6620,90,0
6608,90,0
6576,90,0
6587,90,0
6539,90,0
6622,90,0
6636,90,0
6670,90,0
6651,90,0
6665,90,0
6668,90,0
6676,90,0
6637,90,0
4995,90,0
6627,90,0
6685,90,0
6680,90,0
6737,90,0
6732,90,0
6742,90,0
6712,90,0
6744,90,0
6767,90,0
6764,90,0
6775,90,0
6713,90,0
6634,90,0
6778,90,0
6774,90,0
6796,90,0
6805,90,0
6804,90,0
6803,90,0
6802,90,2
6808,90,0
6814,90,0
6793,90,0
6819,90,0
6813,90,0
6807,90,0
5871,890,0
6414,890,0
3255,890,0
6438,890,0
6480,890,0
6479,890,0
6477,890,0
6474,890,0
6476,890,0
6467,890,0
6501,890,0
6495,890,0
6509,890,0
6490,890,0
6517,890,0
6497,890,0
6520,890,0
6496,890,0
6536,890,0
5814,890,0
6569,890,0
6552,890,0
6591,890,0
6586,890,0
6549,890,0
6594,890,0
6577,890,0
6471,890,0
6598,890,0
6566,890,0
6601,890,0
6603,890,0
6568,890,0
6556,890,0
6564,890,0
6395,890,1
6620,890,0
6608,890,0
6576,890,0
6587,890,0
6539,890,0
6622,890,0
6636,890,0
6670,890,0
6651,890,0
6665,890,0
6668,890,0
6676,890,0
6637,890,0
4995,890,0
6627,890,0
6685,890,0
6680,890,0
6737,890,0
6732,890,0
6742,890,0
6712,890,0
6744,890,0
6767,890,0
6764,890,0
6775,890,0
6713,890,0
6634,890,0
6778,890,0
6774,890,0
6796,890,0
6805,890,0
6804,890,0
6803,890,0
6802,890,0
6808,890,0
6814,890,0
6793,890,0
6819,890,0
6813,890,0
6807,890,0
5871,883,0
6414,883,0
3255,883,1
6438,883,0
6480,883,0
6479,883,0
6477,883,0
6474,883,0
6476,883,0
6467,883,0
6501,883,0
6495,883,0
6509,883,0
6490,883,0
6517,883,0
6497,883,0
6520,883,0
6496,883,0
6536,883,0
5814,883,0
6569,883,0
6552,883,0
6591,883,0
6586,883,0
6549,883,0
6594,883,0
6577,883,0
6471,883,0
6598,883,0
6566,883,0
6601,883,0
6603,883,0
6568,883,0
6556,883,0
6564,883,0
6395,883,0
6620,883,0
6608,883,0
6576,883,0
6587,883,0
6539,883,0
6622,883,0
6636,883,0
6670,883,0
6651,883,0
6665,883,0
6668,883,0
6676,883,0
6637,883,0
4995,883,0
6627,883,0
6685,883,0
6680,883,0
6737,883,0
6732,883,0
6742,883,0
6712,883,0
6744,883,0
6767,883,0
6764,883,0
6775,883,1
6713,883,0
6634,883,0
6778,883,0
6774,883,0
6796,883,0
6805,883,0
6804,883,0
6803,883,0
6802,883,0
6808,883,0
6814,883,0
6793,883,0
6819,883,0
6813,883,0
6807,883,0
5871,88,0
6414,88,0
3255,88,0
6438,88,0
6480,88,0
6479,88,0
6477,88,0
6474,88,0
6476,88,0
6467,88,0
6501,88,0
6495,88,0
6509,88,0
6490,88,0
6517,88,0
6497,88,0
6520,88,0
6496,88,0
6536,88,0
5814,88,0
6569,88,0
6552,88,0
6591,88,0
6586,88,0
6549,88,0
6594,88,0
6577,88,0
6471,88,0
6598,88,0
6566,88,0
6601,88,0
6603,88,0
6568,88,0
6556,88,0
6564,88,0
6395,88,0
6620,88,0
6608,88,0
6576,88,0
6587,88,0
6539,88,0
6622,88,0
6636,88,0
6670,88,0
6651,88,0
6665,88,0
6668,88,0
6676,88,0
6637,88,0
4995,88,1
6627,88,0
6685,88,0
6680,88,0
6737,88,0
6732,88,0
6742,88,0
6712,88,0
6744,88,0
6767,88,0
6764,88,0
6775,88,0
6713,88,0
6634,88,0
6778,88,0
6774,88,0
6796,88,0
6805,88,0
6804,88,0
6803,88,0
6802,88,0
6808,88,0
6814,88,0
6793,88,0
6819,88,0
6813,88,0
6807,88,0
5871,772,0
6414,772,0
3255,772,0
6438,772,0
