Artist,Pitch Count
10th-street,5
4-degrees-of-freedom,1
6ix-mhz-25276,2
8-bit-culprit,1
Aardee,1
Abhijeet-Sawant,1
Akira's-Tricolour,1
Antara-,1
Antara-Mitra,1
Anuragi,1
Bhavya-Pandit,1
DJ-Louis,1
DJ-Sonya,1
Daksh,1
Divya-Kumar,1
Dualist-Inquiry,2
Hariharan,1
Harshi-,1
Harshi-Mad,1
Jaspreet-Jasz,1
Jeffrey-Iqbal,1
Kabir-Singh-Bhandari,5
Kailash-Kher,1
Kavita-Krishnamurthy-Subramaniam,1
M-Sonu,1
MADBOYOrOrMINK,2
MOhit-,1
MOhit-Lalwani,1
Mauli-Dave,1
Mohammed-Irfan,1
Mohd-Amir,1
Monali-Thakur,1
Munny-Fame,1
MusiCorp,1
Nakash-,1
Natalie-,1
Natalie-Di-Lucio,1
Neha-Kakkar,1
Panchtarni,1
Prayas,1
Rahul-,1
Rahul-Vaidya,1
Rakesh-Singh,1
Rekha-Bhardwaj,1
Rimi-Nique,1
Rituraj-Mohanty,1
Roop-Kumar-and-Sunali-Rathod,1
Sachin-Jigar,1
Samay,1
Shankar-Mahadevan,1
Shilpi,1
Sona-Mohapatra,1
Sourabhee-Debbarma,1
Ssameer-with-Qasbah,1
Sugandha-Mishra,1
Tochi-Raina,1
Tulika-Ganguly,1
a---bong,1
a-kay,1
a-short-summer,1
a-square-live,2
a26,1
aabha-hanjura-and-sufistication,1
aabhaas,1
aafreen-vaz,9
aakanksha-sharma,13
aakanksha-vernekar,1
aakar,4
aakarshak-mishra,1
aakash-gupta,42
aalaps,1
aamer-peeran,3
aanchal-shrivastava,1
aanya,9
aanya-singh,5
aarambh,1
aardee,10
aarmash,1
aaron-fernandes,1
aarsh-benipal,5
aartii-nagpal,2
aarushi-oswal,1
aashi-sharma,1
aashiyaan,1
aasma-dance-company,1
aatish,1
aawaaz,3
aawara-the-band,1
aayana-dance-company,3
aayushi-jagad,3
abazz,14
abel-mathews,4
abha-singhaal,1
abhigyan-das,7
abhijeet-sawant,4
abhijit-ganguly,34
abhijit-ghoshal,2
abhijit-gupta,1
abhijit-mazumdar,1
abhijith-ps-nair,1
abhilesh---goldiee,1
abhimanyu-lal,2
abhinab-dan,1
abhinav-johari,1
abhinav-shankar,2
abhishek-chatterjee,1
abhishek-gaurav-photography,1
abhishek-malik,8
abhishek-rajpurohit,1
abhishek-singh,1
abhishek-upmanyu,41
abishek-kumar,2
abloom-dance-company,2
aboriginals-project,1
accerto,2
aceaxe,4
adbhutam,2
addiction-age,1
addiction-the-band,1
adhyayan-suman,2
adil-ibrahim,6
adil-nadaf,1
aditi,1
aditi-arya,2
aditya-narayan,3
aditya-photography,1
aditya-shridhar,6
adrian-lewis,1
adrija-gupta,1
afsha-khan,3
afterlive,1
agastyafor,1
agnee,2
ahad-band,3
ahmed-shariff,9
ahsaan-qureshi,3
air-dance-crew,1
aisha-ghani,1
aishwarya-anand,31
aishwarya-bharadwaj,3
aishwarya-majmudar,2
aishwarya-nigam,3
aishwarya-suresh,1
aj-and-dj-mack,1
aj-frames,1
ajay-234084,1
ajay-shaw,2
ajaz-khan,8
ajit-shukla,1
akash-arora,1
akash-choudhary,1
akash-gautam,1
akash-gupta,2
akash-gupta?id_op=7e0c93ff-b478-4667-9d1d-8aeb0f519781,1
akash-vincent,1
akbar-sami,2
akhil,31
akhtar,2
akira's-tricolour,9
akriti-kakar,5
akshat-panwar,1
akss,1
alaap-the-band,1
alakh,3
alamgir-khan-236213,1
